project_code,size,incorporation_status,region,investment_budget,public_funding,nace_2_digits_code,nace_2_digits_description,sector_code,sector_description
p_139,Small,Existing Business,Peloponnese,699500.0,279800.0,10,Manufacture of food products,C, Manufacturing
p_140,Small,Existing Business,Central Macedonia,1272247.5,826960.87,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_140,Small,Existing Business,Central Macedonia,1272247.5,826960.87,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_140,Small,Existing Business,Central Macedonia,1272247.5,826960.87,26,"Manufacture of computer, electronic and optical products",C, Manufacturing
p_140,Small,Existing Business,Central Macedonia,1272247.5,826960.87,26,"Manufacture of computer, electronic and optical products",C, Manufacturing
p_140,Small,Existing Business,Central Macedonia,1272247.5,826960.87,26,"Manufacture of computer, electronic and optical products",C, Manufacturing
p_140,Small,Existing Business,Central Macedonia,1272247.5,826960.87,26,"Manufacture of computer, electronic and optical products",C, Manufacturing
p_140,Small,Existing Business,Central Macedonia,1272247.5,826960.87,26,"Manufacture of computer, electronic and optical products",C, Manufacturing
p_140,Small,Existing Business,Central Macedonia,1272247.5,826960.87,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
p_140,Small,Existing Business,Central Macedonia,1272247.5,826960.87,28,Manufacture of machinery and equipment n.e.c.,C, Manufacturing
p_141,Small,Existing Business,Central Macedonia,6000000.0,4200000.0,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_141,Small,Existing Business,Central Macedonia,6000000.0,4200000.0,52,Warehousing and support activities for transportation,H, Transportation and Storage
p_142,Small,Existing Business,Eastern Macedonia and Thrace,1029130.0,720391.0,23,Manufacture of other non-metallic mineral products,C, Manufacturing
p_143,Medium,Existing Business,Central Greece,4036913.75,1614765.49,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_144,Medium,Existing Business,Central Macedonia,931169.01,468001.39,11,Manufacture of beverages,C, Manufacturing
p_145,Small,Existing Business,Attica,799173.99,359628.28,25,"Manufacture of fabricated metal products, except machinery and equipment",C, Manufacturing
p_145,Small,Existing Business,Attica,799173.99,359628.28,27,Manufacture of electrical equipment,C, Manufacturing
p_146,Small,Existing Business,Epirus,760190.25,531133.17,10,Manufacture of food products,C, Manufacturing
p_147,Small,Existing Business,Central Macedonia,627250.09,439075.06,23,Manufacture of other non-metallic mineral products,C, Manufacturing
p_148,Small,Existing Business,Western Macedonia,1037376.81,719163.76,10,Manufacture of food products,C, Manufacturing
p_149,Small,Existing Business,Western Macedonia,346118.25,241282.77,10,Manufacture of food products,C, Manufacturing
p_149,Small,Existing Business,Western Macedonia,346118.25,241282.77,10,Manufacture of food products,C, Manufacturing
p_149,Small,Existing Business,Western Macedonia,346118.25,241282.77,10,Manufacture of food products,C, Manufacturing
p_150,Micro,Existing Business,Western Macedonia,291900.0,203330.0,10,Manufacture of food products,C, Manufacturing
p_151,Micro,Existing Business,North Aegean,1160000.0,866250.0,10,Manufacture of food products,C, Manufacturing
